city,date,fare,ride_id
Lake Kennethbury,2017-07-02 18:47:52,29.16,3839980036030
North Ashley,2017-02-08 09:21:51,34.35,9159575273980
Duranmouth,2017-12-08 23:49:44,32.99,9798773796688
Ashleyside,2017-07-16 16:29:00,35.85,7598913227711
South Breanna,2017-03-13 21:06:25,18.64,4011192940940
Sandersmouth,2017-04-04 00:29:36,24.09,8174494415847
East Kellyshire,2017-03-02 21:04:55,22.25,3460045749505
Millerton,2017-04-25 08:31:20,21.58,9515915018169
Port Roberttown,2017-01-08 06:44:22,36.65,3670647862759
Burgessside,2017-08-26 09:14:43,7.3,5716307590797
North Steve,2017-06-09 09:54:41,21.11,3984424901082
Katherinebury,2017-05-14 23:32:32,42.42,7546241194168
North Steve,2017-02-22 04:44:08,22.29,9537097973043
South Jameshaven,2017-03-02 12:00:44,25.79,2086613419253
Port Roberttown,2017-06-11 10:20:43,40.11,5082998272275
Katherinebury,2017-03-03 15:55:48,15.43,4752050386929
West Heatherburgh,2017-09-10 09:47:54,27.89,7040848222793
Lake Nicholaston,2017-09-16 01:41:34,24.03,8171029748449
Matthewmouth,2017-08-03 15:34:07,8.11,1822847631464
Sandersmouth,2017-09-14 07:03:14,16.12,2177705270996
South Davidfort,2017-07-22 07:55:25,30.37,5620347504990
Port Tyler,2017-01-22 08:08:45,30.43,2761337345421
New Danielle,2017-12-06 13:18:58,38.76,0826760791428
New Judyshire,2017-06-08 17:48:36,4.95,0728729793408
Dennisborough,2017-12-09 03:30:01,29.9,8755472225827
North Troy,2017-04-29 19:12:39,18.43,4674276409049
Andrewsborough,2017-05-02 01:42:36,41.62,9302401394711
North Ashley,2017-11-11 04:51:53,33.2,9040617911062
East Lanceshire,2017-06-14 11:29:58,28.98,0353286584192
New Heather,2017-09-19 19:34:09,8.4,5991848424224
North Ashley,2017-11-21 01:05:05,16.5,7646203668215
Lake Cynthia,2017-04-08 08:54:39,36.65,6516825866690
Stevenmouth,2017-09-22 19:28:43,33.02,7254346240313
Port Misty,2017-07-29 13:54:22,21.91,3859810167512
Kimberlyfort,2017-06-12 08:19:55,44.28,0393375364465
Bellfort,2017-01-24 17:34:31,12.58,5534428808610
East Lanceshire,2017-11-05 22:06:32,14.8,5196525112177
Davidtown,2017-05-25 22:55:39,11.78,0390515269048
Katherinebury,2017-10-27 16:17:36,25.95,9482835223631
Paulton,2017-08-23 01:54:08,14.58,8277296896668
New Melissa,2017-06-16 13:09:47,8.46,9616293520876
Turnermouth,2017-04-19 11:29:01,12.1,3319875519614
Matthewmouth,2017-01-18 13:26:34,44.25,7440866029884
Port Jameschester,2017-09-30 02:55:19,31.73,9461395029761
Davidtown,2017-08-27 23:18:23,39.72,0083704278388
Josephmouth,2017-01-19 10:30:20,36.44,6761831687672
Dennisborough,2017-08-02 22:42:41,6.17,9429257739401
Sandersmouth,2017-10-04 03:20:18,4.69,6981187204402
Andrewsborough,2017-12-01 15:47:56,10.86,9023634606586
Turnermouth,2017-02-09 20:54:22,38.7,2985212948501
Port Misty,2017-08-17 12:10:19,37.08,7642486639416
Andrewsborough,2017-02-08 08:27:32,15.85,6962072549839
Michelehaven,2017-08-24 11:47:54,20.07,4682468863272
Lake Cynthia,2017-03-19 00:58:46,17.83,6166361495986
Port Tyler,2017-05-06 22:36:05,29.93,6638435861923
Katherinebury,2017-11-14 15:04:21,10.82,1522470376403
Jamiebury,2017-04-02 16:32:08,33.53,7662272077949
Alexborough,2017-09-15 16:50:09,38.87,4539067865445
West Heatherburgh,2017-09-17 13:05:06,41.74,6218747994009
Bellfort,2017-05-02 07:03:45,21.85,7509208296282
Kimberlyfort,2017-09-04 02:02:32,30.16,2018554217940
Port Lisaport,2017-05-12 09:19:57,22.16,1383912304022
Jamiebury,2017-03-28 00:46:56,19.17,0876882772553
New Heather,2017-06-05 06:54:01,41.65,6657710337540
Josephmouth,2017-04-29 15:41:50,17.97,3147837103454
Lake Ashleyland,2017-07-18 04:27:39,42.43,9407381656108
Rodriguezchester,2017-04-08 00:16:15,15.71,3747060047145
Port Lisaport,2017-02-27 21:29:20,29.87,7436080722434
Turnermouth,2017-10-16 17:59:16,12.72,9841900498594
New Danielle,2017-11-12 11:48:57,10.89,6712765858171
North Steve,2017-03-17 22:10:39,22.84,9969389656516
Port Tyler,2017-06-28 03:46:25,6.07,1715141700793
Swansonborough,2017-07-03 02:36:35,6.65,5967306750402
Katherinebury,2017-11-18 06:57:46,24.91,1060203203072
Michaelside,2017-10-25 03:55:44,44.22,5683040227504
Lake Cynthia,2017-03-24 01:05:53,38.48,5423859159265
Gailstad,2017-04-10 11:45:18,38.74,8948638590680
Jamesview,2017-03-10 22:41:52,33.35,5696869877072
Rodriguezchester,2017-02-05 05:21:43,42.85,8060978736341
Rodriguezchester,2017-10-12 00:32:49,17.48,9509342519528
Garymouth,2017-10-04 19:23:13,41.45,7882314640447
Michaelside,2017-03-18 17:56:06,41.74,6907519455441
North Troy,2017-08-07 19:05:47,34.83,2174291902522
Port Misty,2017-06-11 23:36:50,22.07,0600253016881
South Davidfort,2017-08-09 21:21:14,5.59,7907545919886
East Lanceshire,2017-02-09 07:28:54,34.72,9969959413167
Port Tyler,2017-07-08 14:38:58,10.7,3477279278374
West Sarashire,2017-11-17 04:28:37,44.81,2234035028069
New Judyshire,2017-12-05 14:47:42,27.92,3403407435623
Andrewsborough,2017-01-04 08:52:25,40.84,7897481875387
Dennisborough,2017-04-14 04:04:04,14.19,4113636051370
Duranmouth,2017-07-09 05:04:10,5.75,7030766956405
Millerton,2017-11-02 17:31:13,25.66,5743537919197
Stevenmouth,2017-10-04 07:37:51,7.92,1417807074261
Port Misty,2017-02-11 15:14:01,8.16,9461665438767
Matthewmouth,2017-02-18 07:20:27,33.12,8819644754741
South Charlesport,2017-10-28 08:10:32,33.63,5131011128058
Port Misty,2017-08-28 14:49:36,8.15,0664202687256
Lake Cynthia,2017-05-09 05:12:25,9.63,7925537428826
Youngberg,2017-06-26 05:49:22,28.02,1839915476216
Bellfort,2017-01-25 14:19:24,11.66,8701489537170
Johnsonmouth,2017-06-27 16:26:54,16.83,5255773833644
Port Roberttown,2017-10-14 09:44:27,7.7,8764191577872
North Troy,2017-04-29 14:10:47,44.84,5621663753529
Turnermouth,2017-08-29 23:19:15,14.7,7435941931015
Lake Kennethbury,2017-05-28 20:48:37,10.69,0104436050872
Port Jameschester,2017-09-03 23:31:19,4.74,8191609967671
Kimberlyfort,2017-09-20 17:26:25,39.05,2123444780197
Port Misty,2017-03-31 05:33:15,27.09,2669928104702
Garymouth,2017-01-04 18:15:24,42.35,2674970529632
New Danielle,2017-01-24 13:08:40,4.81,1437289345536
Port Tyler,2017-11-12 18:18:19,42.9,3447498330559
Johnsonview,2017-09-26 12:08:07,30.22,6276198131473
North Steve,2017-01-16 09:45:36,15.74,0673867178009
Garymouth,2017-05-23 12:19:13,7.15,1903520274571
Michaelside,2017-11-07 17:09:54,17.07,1758998601738
Josephmouth,2017-05-24 03:12:30,36.55,2795537433596
Lake Kennethbury,2017-03-20 13:17:32,18.24,5014355080285
Johnsonview,2017-10-18 23:44:47,34.66,4264619316341
Port Jameschester,2017-12-08 15:06:55,16.71,1961501178829
New Judyshire,2017-04-24 23:23:26,9.52,6913551067009
North Steve,2017-10-30 17:49:14,8.71,0891302212396
Burgessside,2017-04-04 03:45:20,38.78,0378521640709
Port Lisaport,2017-06-23 04:04:27,25.36,7366733514324
Rodriguezchester,2017-07-08 04:26:42,37.48,2998187685135
Andrewsborough,2017-07-03 01:50:18,21.98,0124668425187
New Melissa,2017-08-28 05:28:47,19.94,2012212007812
Ashleyside,2017-09-05 05:27:42,11.68,5177312139294
Port Luke,2017-03-28 15:38:58,41.91,4685839871029
New Danielle,2017-06-05 16:17:20,26.89,1087193008739
Sharonton,2017-10-17 20:53:49,15.68,8415804330321
South Breanna,2017-06-29 19:05:41,28.66,4187386350687
Garymouth,2017-04-13 04:10:16,43.16,2950404631509
Davidfurt,2017-01-16 06:46:55,25.13,2463598628250
New Danielle,2017-10-06 16:53:57,8.13,9523284935819
South Breanna,2017-04-29 06:32:55,12.59,5228874472968
West Mark,2017-02-08 02:54:59,22.72,5686524846277
Sharonton,2017-01-02 22:35:41,31.94,4332588812291
Lake Melissaview,2017-02-22 07:02:54,28.75,0725681351929
Butlerville,2017-06-18 22:59:19,43.52,9591856898176
Matthewmouth,2017-04-25 10:09:36,13.16,1293521330773
New Heather,2017-09-10 11:27:10,19.72,0583675930891
Ashleyside,2017-02-25 04:15:19,43.48,1210301548999
West Sarashire,2017-07-14 00:26:28,41.54,1133447594685
Michaelside,2017-04-21 18:25:00,14.17,0909034983269
Dennisborough,2017-03-18 09:11:15,14.39,4179064598474
South Breanna,2017-06-17 00:04:52,37.48,6781204922001
Turnermouth,2017-10-16 17:35:49,7.65,9818103065694
Katherinebury,2017-03-27 00:02:20,28.27,5331746201365
